,mean_norm_minimized
NDPK5,1.4042465497478351
SHK3Dr,-3.9450720914029693
NDPK6,-1.1168190441065105
NDPK8,2.470121879774985
DHORTS,-10.159995690685724
OMPDC,-20.217801035807312
G5SD,-5.246545075587962
CS,-41.76474136325398
ICDHyr,5.370438197462571
ACALD,-24.122178662269683
PPA,-15.645520146357663
PPCK,11.245118604266334
ME1,12.022024952581502
ALATA_L,-0.2530758376121299
XYLK,-27.23662045774236
RBK,-31.776414136958405
GLYK,-19.141352482750914
ASPTA,2.8486715333392296
FBP,-10.583442091880892
PYK,-22.788996680370264
GTHOr,-10.804371768734041
ILETA,-6.296940239640744
DHORD5,-17.72992985745352
VALTA,1.3419631512889942
IPPMIb,-0.3962300485828119
ORPT,1.2108551867651118
ACHBS,-15.05090260417721
DHAD2,-36.92828880292584
ACLS,-23.710138183822032
TRPS2,-50.41493032155388
PSCVT,-15.882264913890758
PFL,-20.304440002947487
ANS,-112.69483819946979
FRD2,-34.11618204161699
ANPRT,-65.8000081693304
CHORM,-48.72492471620759
PTAr,9.387962140754128
CHORS,-47.04605203266629
IGPS,-69.86559327127941
ACKr,14.689587668971798
LEUTAi,0.03788516039350439
ENO,-3.8948284456262545
FBA,24.84829985010763
HCO3E,-11.271494293755026
IMPC,19.601761444049203
IMPD,13.621260194440097
PPS,-10.109983563484382
PGI,2.4160487508881348
PGK,19.543984097838553
PGL,-28.028150075873278
RPE,-3.390614099667846
DHQTi,-5.290222085060251
IPMD,12.727272583284392
AIRC3,-30.403133568556054
TALA,-1.2208993584298287
ADSL2r,24.94399731095774
TKT1,-1.479039863012321
RNDR1,-44.059852057887525
ALCD2x,15.167578272346283
RNDR3,-40.58892126464654
RNDR4,-44.7776508740386
TMDS,-45.29303435339632
DHAD1,-36.93208667996053
IPPMIa,-3.68994320197906
MDH,23.5659030286854
FUM,-3.424536632496899
KARA1,13.037042451631912
KARA2,-13.036798419383892
ACCOAC,-11.766443832616073
KAS14,12.118530018578216
ARGSS,10.457588711247178
AGPR,2.7098163461577105
ICL,8.908189443681728
GLYCL,19.14678072633207
XYLI1,3.66771424947877
PPC,-43.540252680997085
G3PT,-13.15378159397985
SADT2,16.109450953161918
GHMT2r,-9.9572033804304
DHORD2,-125.47329103406419
SDPDS,8.202807779326648
UMPK,0.6286235339077775
CTPS2,-25.325868200354407
NDPK7,3.826286679489082
TRPS3,19.166513454819047
ADK1,0.6038461671238968
NDPK2,-0.5879182668963613
NDPK4,0.8343423462488012
ACODA,-7.001151703805332
ADSS,-7.20133718341554
ASNS2,-31.937192339596898
ASPCT,-22.925011990612738
MCOATA,9.337677217752754
DAPE,-1.6526074298636975
DHDPRy,-18.516199473340457
HSK,-41.849050694136615
SDPTA,-1.1727043932019643
THRS,-29.691230544927336
HSST,-29.196241293897806
PPNDH,-61.78177178188172
DTMPK,-2.326793088856234
NDPK1,-2.163279942489447
TRDR,-3.860655588811589
DDPA,-74.23897252088283
MALS,-40.97608976471659
