,0
NDPK5,1.4042465497478351
SHK3Dr,-3.945072091402742
NDPK6,-1.1168190441065105
NDPK8,2.470121879774985
DHORTS,-10.159995690685781
OMPDC,-20.217801035807312
G5SD,-5.246545075587678
CS,-41.76474136325398
ICDHyr,5.370438197462457
ACALD,-24.122178662269853
PPA,-15.645520146357663
PPCK,11.24511860426632
ME1,12.022024952581274
ALATA_L,-0.2530758376121583
XYLK,-27.23662045774236
RBK,-31.776414136958405
GLYK,-19.141352482750914
ASPTA,2.848671533339244
FBP,-10.583442091881006
PYK,-22.788996680370293
GTHOr,-10.804371768733814
ILETA,-6.296940239640744
DHORD5,-17.72992985745352
VALTA,1.3419631512889374
IPPMIb,-0.3962300485827835
ORPT,1.2108551867650834
ACHBS,-15.05090260417721
DHAD2,-36.92828880292584
ACLS,-23.710138183822032
TRPS2,-50.41493032155391
PSCVT,-15.882264913890701
PFL,-20.30444000294726
ANS,-112.69483819946993
FRD2,-34.11618204161699
ANPRT,-65.8000081693304
CHORM,-48.72492471620759
PTAr,9.387962140754128
CHORS,-47.04605203266629
IGPS,-69.8655932712795
ACKr,14.689587668971798
LEUTAi,0.03788516039350439
ENO,-3.8948284456262545
FBA,24.84829985010763
HCO3E,-11.271494293755026
IMPC,19.60176144404909
IMPD,13.62126019443987
PPS,-10.109983563484496
PGI,2.4160487508881348
PGK,19.543984097838553
PGL,-28.028150075873334
RPE,-3.390614099667846
DHQTi,-5.290222085060251
IPMD,12.727272583284108
AIRC3,-30.403133568556054
TALA,-1.2208993584297718
ADSL2r,24.943997310957627
TKT1,-1.4790398630124346
RNDR1,-44.059852057887525
ALCD2x,15.167578272345999
RNDR3,-40.58892126464654
RNDR4,-44.7776508740386
TMDS,-45.29303435339632
DHAD1,-36.932086679960555
IPPMIa,-3.6899432019790885
MDH,23.565903028685174
FUM,-3.424536632496885
KARA1,13.037042451631685
KARA2,-13.036798419383665
ACCOAC,-11.766443832616073
KAS14,12.118530018578102
ARGSS,10.457588711247178
AGPR,2.70981634615754
ICL,8.908189443681728
GLYCL,19.146780726331844
XYLI1,3.66771424947877
PPC,-43.54025268099707
G3PT,-13.15378159397985
SADT2,16.109450953161804
GHMT2r,-9.957203380430371
DHORD2,-125.47329103406419
SDPDS,8.202807779326676
UMPK,0.6286235339077775
CTPS2,-25.325868200354492
NDPK7,3.826286679489082
TRPS3,19.16651345481916
ADK1,0.6038461671240105
NDPK2,-0.5879182668963613
NDPK4,0.8343423462488012
ACODA,-7.001151703805332
ADSS,-7.20133718341554
ASNS2,-31.937192339596898
ASPCT,-22.92501199061268
MCOATA,9.33767721775264
DAPE,-1.6526074298636975
DHDPRy,-18.51619947334023
HSK,-41.84905069413656
SDPTA,-1.1727043932019643
THRS,-29.691230544927393
HSST,-29.196241293898034
PPNDH,-61.78177178188178
DTMPK,-2.32679308885612
NDPK1,-2.163279942489447
TRDR,-3.860655588811362
DDPA,-74.23897252088277
MALS,-40.97608976471682
NADTRHD,-0.3130209361017824
G3PD2,20.036644655642494
GMPS2,-1.614326379240083e-07
P5CR,-9.474893020758435
AKGDH,-28.903295470221906
ATPPRT,-38.557688564571635
HISTD,-23.37154451838469
DHDPS,-130.59541462289252
IGPDH,-42.024332507704095
PRPPS,-3.834019898313518
PRATPP,-56.864685531988016
GLUN,-14.44811975700929
PRMICI,-9.778607130926602
GLUPRT,-70.08796899971217
SERAT,-6.199700179246518
CYSS,-50.85227142439284
BPNT,-7.080044145954401
PAPSR,-51.475281070874786
ASPK,20.923451054590235
ASAD,-28.080321224837494
DAPDC,-11.824331789312572
OCBT,-31.78746484671291
GARFT,-0.6955807857953782
PHETA1,-0.407213771983609
PPND,-10.957663631640331
PRAMPC,-44.41041760773743
GLYCK2,-13.09071836666652
ACOTA,-3.7678850732260227
SULR,-99.32333670283421
PRAGSr,-27.887567175332666
PRFGS,11.24986356693836
PSERT,-11.06679923780014
AIRC2,-59.120577398648486
GAPD,-1.8293512028162215
GND,10.39617020152157
G6PDH2r,-9.361772644383837
ME2,12.335045888683142
ARGSL,-8.668753526761392
CBPS,-22.55555221905023
GLU5K,29.490267293155927
IPPS,-28.792421211411337
ACOATA,8.549271845853486
ACtex,0.09657843675793742
ACALDtex,-1.2610026914217087e-05
PSP_L,-10.483161829178089
ADSK,-19.14058578611317
SUCCt2_2pp,-10.53624563349993
HSDy,-16.7342755519776
CYSTL,0.7145040798642337
SHSL1,-67.24290963218152
SULabcpp,-15.892620863160282
GLUtex,0.09562301692886876
AKGt2rpp,2.9186076582930696
XYLt2pp,-13.48641958512627
